"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2014","First Quarter","116272","1849342","0.6","826","1.7","Total, all industries","01","AL"
Alaska,"2014","First Quarter","21781","319061","0.3","1024","3.6","Total, all industries","02","AK"
Arizona,"2014","First Quarter","144852","2541954","1.9","917","3.0","Total, all industries","04","AZ"
Arkansas,"2014","First Quarter","86458","1152141","0.2","784","2.5","Total, all industries","05","AR"
California,"2014","First Quarter","1365540","15567504","2.8","1164","4.4","Total, all industries","06","CA"
Colorado,"2014","First Quarter","177323","2370975","3.1","1046","4.2","Total, all industries","08","CO"
Connecticut,"2014","First Quarter","113029","1626973","0.5","1362","3.3","Total, all industries","09","CT"
Delaware,"2014","First Quarter","29382","412448","2.0","1110","3.9","Total, all industries","10","DE"
District Of Columbia,"2014","First Quarter","35374","722697","0.5","1709","5.8","Total, all industries","11","DC"
Florida,"2014","First Quarter","628325","7741583","2.7","869","3.1","Total, all industries","12","FL"
Georgia,"2014","First Quarter","277494","3969285","2.5","972","3.4","Total, all industries","13","GA"
Hawaii,"2014","First Quarter","37906","625714","1.4","857","1.9","Total, all industries","15","HI"
Idaho,"2014","First Quarter","53248","630719","3.2","720","3.6","Total, all industries","16","ID"
Illinois,"2014","First Quarter","409517","5656395","1.0","1103","4.2","Total, all industries","17","IL"
Indiana,"2014","First Quarter","159101","2842964","1.3","845","1.7","Total, all industries","18","IN"
Iowa,"2014","First Quarter","98496","1485039","1.4","824","3.0","Total, all industries","19","IA"
Kansas,"2014","First Quarter","84495","1343610","1.8","839","4.0","Total, all industries","20","KS"
Kentucky,"2014","First Quarter","120555","1783337","1.0","811","2.7","Total, all industries","21","KY"
Louisiana,"2014","First Quarter","123255","1908735","1.1","868","2.6","Total, all industries","22","LA"
Maine,"2014","First Quarter","48706","566230","0.8","786","1.9","Total, all industries","23","ME"
Maryland,"2014","First Quarter","167422","2510472","0.0","1086","1.8","Total, all industries","24","MD"
Massachusetts,"2014","First Quarter","227661","3281587","1.6","1299","5.3","Total, all industries","25","MA"
Michigan,"2014","First Quarter","236020","4008542","1.6","951","3.3","Total, all industries","26","MI"
Minnesota,"2014","First Quarter","161987","2660567","1.1","1035","3.3","Total, all industries","27","MN"
Mississippi,"2014","First Quarter","70594","1096171","0.6","706","1.6","Total, all industries","28","MS"
Missouri,"2014","First Quarter","182288","2634285","1.0","866","2.9","Total, all industries","29","MO"
Montana,"2014","First Quarter","43355","429340","0.5","731","3.4","Total, all industries","30","MT"
Nebraska,"2014","First Quarter","70204","930280","1.6","798","2.7","Total, all industries","31","NE"
Nevada,"2014","First Quarter","75480","1183393","3.4","867","2.7","Total, all industries","32","NV"
New Hampshire,"2014","First Quarter","49104","614267","1.3","970","3.4","Total, all industries","33","NH"
New Jersey,"2014","First Quarter","254291","3782893","0.3","1264","2.3","Total, all industries","34","NJ"
New Mexico,"2014","First Quarter","56411","787896","0.3","793","1.9","Total, all industries","35","NM"
New York,"2014","First Quarter","615309","8698921","1.6","1460","7.3","Total, all industries","36","NY"
North Carolina,"2014","First Quarter","259954","3999495","1.6","913","3.3","Total, all industries","37","NC"
North Dakota,"2014","First Quarter","31058","428990","3.3","944","6.7","Total, all industries","38","ND"
Ohio,"2014","First Quarter","288049","5073109","1.3","909","2.8","Total, all industries","39","OH"
Oklahoma,"2014","First Quarter","106144","1572613","1.2","852","3.6","Total, all industries","40","OK"
Oregon,"2014","First Quarter","130711","1688815","2.8","893","3.4","Total, all industries","41","OR"
Pennsylvania,"2014","First Quarter","345951","5559399","0.3","1007","4.1","Total, all industries","42","PA"
Rhode Island,"2014","First Quarter","35465","449837","1.1","996","4.4","Total, all industries","44","RI"
South Carolina,"2014","First Quarter","114791","1873185","2.7","787","1.9","Total, all industries","45","SC"
South Dakota,"2014","First Quarter","31699","400315","1.5","741","4.5","Total, all industries","46","SD"
Tennessee,"2014","First Quarter","144309","2716430","1.7","874","2.2","Total, all industries","47","TN"
Texas,"2014","First Quarter","618526","11227310","2.7","1062","4.5","Total, all industries","48","TX"
Utah,"2014","First Quarter","88272","1271534","3.1","831","3.4","Total, all industries","49","UT"
Vermont,"2014","First Quarter","24242","301090","0.5","808","2.0","Total, all industries","50","VT"
Virginia,"2014","First Quarter","238171","3609297","-0.1","1050","2.2","Total, all industries","51","VA"
Washington,"2014","First Quarter","253194","2968031","2.7","1068","3.8","Total, all industries","53","WA"
West Virginia,"2014","First Quarter","49602","694612","-0.9","781","1.7","Total, all industries","54","WV"
Wisconsin,"2014","First Quarter","161676","2694741","1.1","856","2.9","Total, all industries","55","WI"
Wyoming,"2014","First Quarter","25393","275550","1.1","877","2.1","Total, all industries","56","WY"
Puerto Rico,"2014","First Quarter","47266","915269","-1.7","519","1.0","Total, all industries","72","PR"
Virgin Islands,"2014","First Quarter","3421","38448","-3.3","743","2.5","Total, all industries","78","VI"
 
