"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Second Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2017","Second Quarter","124100","1947225","1.2","858","2.8","Total, all industries","01","AL"
Alaska,"2017","Second Quarter","21729","338964","-0.5","1006","-0.4","Total, all industries","02","AK"
Arizona,"2017","Second Quarter","156581","2701170","3.0","942","2.4","Total, all industries","04","AZ"
Arkansas,"2017","Second Quarter","88986","1206720","0.7","810","3.2","Total, all industries","05","AR"
California,"2017","Second Quarter","1505681","17151532","2.2","1209","4.6","Total, all industries","06","CA"
Colorado,"2017","Second Quarter","198669","2640321","2.6","1042","4.2","Total, all industries","08","CO"
Connecticut,"2017","Second Quarter","118458","1699782","0.6","1217","0.5","Total, all industries","09","CT"
Delaware,"2017","Second Quarter","31905","448236","0.9","1009","1.9","Total, all industries","10","DE"
District Of Columbia,"2017","Second Quarter","38954","767431","1.2","1670","3.0","Total, all industries","11","DC"
Florida,"2017","Second Quarter","674933","8388710","2.8","905","2.5","Total, all industries","12","FL"
Georgia,"2017","Second Quarter","275594","4352800","2.0","957","3.0","Total, all industries","13","GA"
Hawaii,"2017","Second Quarter","40802","655000","1.3","933","3.3","Total, all industries","15","HI"
Idaho,"2017","Second Quarter","60866","722570","3.3","765","3.4","Total, all industries","16","ID"
Illinois,"2017","Second Quarter","361422","6013968","1.0","1061","2.3","Total, all industries","17","IL"
Indiana,"2017","Second Quarter","165039","3041425","1.5","859","3.7","Total, all industries","18","IN"
Iowa,"2017","Second Quarter","101275","1571744","0.4","852","3.1","Total, all industries","19","IA"
Kansas,"2017","Second Quarter","89414","1379267","0.0","850","2.5","Total, all industries","20","KS"
Kentucky,"2017","Second Quarter","121292","1888455","0.8","862","2.9","Total, all industries","21","KY"
Louisiana,"2017","Second Quarter","130113","1910289","0.1","869","2.0","Total, all industries","22","LA"
Maine,"2017","Second Quarter","53786","630191","1.1","814","2.5","Total, all industries","23","ME"
Maryland,"2017","Second Quarter","172763","2693114","1.3","1103","3.1","Total, all industries","24","MD"
Massachusetts,"2017","Second Quarter","251800","3613394","1.9","1277","3.6","Total, all industries","25","MA"
Michigan,"2017","Second Quarter","245066","4365962","1.6","969","2.9","Total, all industries","26","MI"
Minnesota,"2017","Second Quarter","167074","2903438","2.0","1038","4.0","Total, all industries","27","MN"
Mississippi,"2017","Second Quarter","72624","1128412","0.7","732","0.8","Total, all industries","28","MS"
Missouri,"2017","Second Quarter","204479","2815760","1.1","889","3.0","Total, all industries","29","MO"
Montana,"2017","Second Quarter","48271","473354","1.2","797","3.9","Total, all industries","30","MT"
Nebraska,"2017","Second Quarter","72633","984517","0.5","833","3.5","Total, all industries","31","NE"
Nevada,"2017","Second Quarter","79138","1331160","3.3","901","3.0","Total, all industries","32","NV"
New Hampshire,"2017","Second Quarter","51848","665395","1.5","1015","1.2","Total, all industries","33","NH"
New Jersey,"2017","Second Quarter","263823","4121165","1.8","1174","2.4","Total, all industries","34","NJ"
New Mexico,"2017","Second Quarter","57767","815110","0.7","823","1.5","Total, all industries","35","NM"
New York,"2017","Second Quarter","636021","9415218","1.6","1241","2.6","Total, all industries","36","NY"
North Carolina,"2017","Second Quarter","272418","4356433","1.7","903","4.4","Total, all industries","37","NC"
North Dakota,"2017","Second Quarter","31903","422821","-0.2","954","5.1","Total, all industries","38","ND"
Ohio,"2017","Second Quarter","296002","5424490","1.2","912","3.3","Total, all industries","39","OH"
Oklahoma,"2017","Second Quarter","110081","1587369","1.0","848","2.9","Total, all industries","40","OK"
Oregon,"2017","Second Quarter","149103","1918517","2.5","967","3.8","Total, all industries","41","OR"
Pennsylvania,"2017","Second Quarter","353737","5858018","1.2","1000","3.0","Total, all industries","42","PA"
Rhode Island,"2017","Second Quarter","37297","487443","1.0","981","2.7","Total, all industries","44","RI"
South Carolina,"2017","Second Quarter","128042","2056226","2.1","833","3.5","Total, all industries","45","SC"
South Dakota,"2017","Second Quarter","33207","435586","0.6","785","3.4","Total, all industries","46","SD"
Tennessee,"2017","Second Quarter","156310","2947617","1.8","906","3.5","Total, all industries","47","TN"
Texas,"2017","Second Quarter","673977","12066719","2.1","1027","2.7","Total, all industries","48","TX"
Utah,"2017","Second Quarter","98114","1434984","3.0","862","2.6","Total, all industries","49","UT"
Vermont,"2017","Second Quarter","25558","314822","1.1","870","2.1","Total, all industries","50","VT"
Virginia,"2017","Second Quarter","269298","3889094","1.5","1046","3.6","Total, all industries","51","VA"
Washington,"2017","Second Quarter","242144","3353974","2.2","1139","5.4","Total, all industries","53","WA"
West Virginia,"2017","Second Quarter","50102","691936","-0.1","828","3.4","Total, all industries","54","WV"
Wisconsin,"2017","Second Quarter","171516","2908532","1.2","875","2.2","Total, all industries","55","WI"
Wyoming,"2017","Second Quarter","26076","280692","-0.5","875","3.1","Total, all industries","56","WY"
Puerto Rico,"2017","Second Quarter","46551","873625","-1.0","516","1.4","Total, all industries","72","PR"
Virgin Islands,"2017","Second Quarter","3355","39070","1.7","743","0.0","Total, all industries","78","VI"
 
