"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Third Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2015","Third Quarter","119375","1896079","1.3","829","1.7","Total, all industries","01","AL"
Alaska,"2015","Third Quarter","22483","346561","0.5","1042","2.3","Total, all industries","02","AK"
Arizona,"2015","Third Quarter","149973","2614767","2.9","889","1.5","Total, all industries","04","AZ"
Arkansas,"2015","Third Quarter","87963","1193969","2.0","755","2.4","Total, all industries","05","AR"
California,"2015","Third Quarter","1423091","16475916","3.1","1134","3.4","Total, all industries","06","CA"
Colorado,"2015","Third Quarter","187726","2512119","2.8","1006","2.4","Total, all industries","08","CO"
Connecticut,"2015","Third Quarter","116383","1668829","0.3","1147","2.0","Total, all industries","09","CT"
Delaware,"2015","Third Quarter","30972","437414","2.4","968","0.8","Total, all industries","10","DE"
District Of Columbia,"2015","Third Quarter","38457","746415","1.7","1664","2.1","Total, all industries","11","DC"
Florida,"2015","Third Quarter","638609","8024289","3.5","852","3.1","Total, all industries","12","FL"
Georgia,"2015","Third Quarter","289295","4170263","2.8","915","2.7","Total, all industries","13","GA"
Hawaii,"2015","Third Quarter","39309","636894","1.6","896","3.1","Total, all industries","15","HI"
Idaho,"2015","Third Quarter","56266","680137","3.3","736","2.1","Total, all industries","16","ID"
Illinois,"2015","Third Quarter","407612","5898097","1.5","1017","3.6","Total, all industries","17","IL"
Indiana,"2015","Third Quarter","159981","2971851","1.6","818","2.4","Total, all industries","18","IN"
Iowa,"2015","Third Quarter","100659","1536145","0.4","822","2.9","Total, all industries","19","IA"
Kansas,"2015","Third Quarter","87281","1370747","0.6","809","1.8","Total, all industries","20","KS"
Kentucky,"2015","Third Quarter","122677","1852813","1.4","805","3.1","Total, all industries","21","KY"
Louisiana,"2015","Third Quarter","125767","1926247","-0.2","858","0.7","Total, all industries","22","LA"
Maine,"2015","Third Quarter","50950","610435","0.9","779","3.3","Total, all industries","23","ME"
Maryland,"2015","Third Quarter","168669","2610969","1.4","1067","2.4","Total, all industries","24","MD"
Massachusetts,"2015","Third Quarter","239489","3454548","1.7","1196","2.9","Total, all industries","25","MA"
Michigan,"2015","Third Quarter","241802","4202309","1.5","922","2.8","Total, all industries","26","MI"
Minnesota,"2015","Third Quarter","158384","2803225","1.5","990","2.6","Total, all industries","27","MN"
Mississippi,"2015","Third Quarter","71830","1119196","1.2","706","1.3","Total, all industries","28","MS"
Missouri,"2015","Third Quarter","192126","2736953","1.9","846","2.2","Total, all industries","29","MO"
Montana,"2015","Third Quarter","45323","457632","1.8","759","3.7","Total, all industries","30","MT"
Nebraska,"2015","Third Quarter","70022","964957","1.5","812","4.4","Total, all industries","31","NE"
Nevada,"2015","Third Quarter","79388","1253205","3.1","862","2.5","Total, all industries","32","NV"
New Hampshire,"2015","Third Quarter","51060","643214","1.5","952","2.7","Total, all industries","33","NH"
New Jersey,"2015","Third Quarter","261346","3930842","1.3","1117","2.7","Total, all industries","34","NJ"
New Mexico,"2015","Third Quarter","57441","810207","0.7","798","1.3","Total, all industries","35","NM"
New York,"2015","Third Quarter","629814","9069220","1.8","1181","3.1","Total, all industries","36","NY"
North Carolina,"2015","Third Quarter","266268","4194742","2.6","863","3.0","Total, all industries","37","NC"
North Dakota,"2015","Third Quarter","32297","438010","-3.8","957","-2.2","Total, all industries","38","ND"
Ohio,"2015","Third Quarter","291599","5289198","1.3","877","1.7","Total, all industries","39","OH"
Oklahoma,"2015","Third Quarter","109182","1599515","0.3","825","0.0","Total, all industries","40","OK"
Oregon,"2015","Third Quarter","142751","1819247","3.4","922","4.2","Total, all industries","41","OR"
Pennsylvania,"2015","Third Quarter","350521","5721480","0.8","961","2.5","Total, all industries","42","PA"
Rhode Island,"2015","Third Quarter","36499","477466","1.2","920","2.7","Total, all industries","44","RI"
South Carolina,"2015","Third Quarter","123649","1959901","2.9","788","2.6","Total, all industries","45","SC"
South Dakota,"2015","Third Quarter","32634","419590","0.9","756","3.1","Total, all industries","46","SD"
Tennessee,"2015","Third Quarter","150522","2847416","2.6","865","3.3","Total, all industries","47","TN"
Texas,"2015","Third Quarter","643736","11683567","2.1","999","1.1","Total, all industries","48","TX"
Utah,"2015","Third Quarter","93673","1355363","3.8","829","3.2","Total, all industries","49","UT"
Vermont,"2015","Third Quarter","24733","308371","0.6","829","3.0","Total, all industries","50","VT"
Virginia,"2015","Third Quarter","258762","3761616","2.6","1012","2.3","Total, all industries","51","VA"
Washington,"2015","Third Quarter","238649","3182097","2.3","1111","2.2","Total, all industries","53","WA"
West Virginia,"2015","Third Quarter","50201","702880","-1.0","785","0.9","Total, all industries","54","WV"
Wisconsin,"2015","Third Quarter","167777","2820647","1.1","833","3.3","Total, all industries","55","WI"
Wyoming,"2015","Third Quarter","26248","288221","-1.3","865","-1.3","Total, all industries","56","WY"
Puerto Rico,"2015","Third Quarter","45555","891387","-0.6","512","1.4","Total, all industries","72","PR"
Virgin Islands,"2015","Third Quarter","3400","36920","-1.7","735","1.7","Total, all industries","78","VI"
 
