"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Third Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2016","Third Quarter","122463","1924805","1.5","870","4.9","Total, all industries","01","AL"
Alaska,"2016","Third Quarter","22197","337934","-2.5","1055","1.2","Total, all industries","02","AK"
Arizona,"2016","Third Quarter","153072","2696613","3.1","950","6.9","Total, all industries","04","AZ"
Arkansas,"2016","Third Quarter","88655","1205729","1.0","793","5.0","Total, all industries","05","AR"
California,"2016","Third Quarter","1480797","16871718","2.4","1209","6.6","Total, all industries","06","CA"
Colorado,"2016","Third Quarter","193548","2575855","2.5","1062","5.6","Total, all industries","08","CO"
Connecticut,"2016","Third Quarter","116799","1674045","0.3","1206","5.1","Total, all industries","09","CT"
Delaware,"2016","Third Quarter","31933","441145","0.9","1022","5.6","Total, all industries","10","DE"
District Of Columbia,"2016","Third Quarter","39360","759117","1.7","1736","4.3","Total, all industries","11","DC"
Florida,"2016","Third Quarter","660932","8322016","3.7","906","6.3","Total, all industries","12","FL"
Georgia,"2016","Third Quarter","299892","4289615","2.9","970","6.0","Total, all industries","13","GA"
Hawaii,"2016","Third Quarter","39942","650045","2.1","956","6.7","Total, all industries","15","HI"
Idaho,"2016","Third Quarter","59445","703651","3.5","782","6.3","Total, all industries","16","ID"
Illinois,"2016","Third Quarter","399036","5939346","0.7","1060","4.2","Total, all industries","17","IL"
Indiana,"2016","Third Quarter","163046","3025622","1.8","866","5.9","Total, all industries","18","IN"
Iowa,"2016","Third Quarter","101317","1549769","0.9","874","6.3","Total, all industries","19","IA"
Kansas,"2016","Third Quarter","90334","1377200","0.5","857","5.9","Total, all industries","20","KS"
Kentucky,"2016","Third Quarter","124070","1880286","1.5","858","6.6","Total, all industries","21","KY"
Louisiana,"2016","Third Quarter","128559","1906772","-1.0","884","3.0","Total, all industries","22","LA"
Maine,"2016","Third Quarter","53257","617252","1.1","825","5.9","Total, all industries","23","ME"
Maryland,"2016","Third Quarter","170249","2649822","1.5","1124","5.3","Total, all industries","24","MD"
Massachusetts,"2016","Third Quarter","248030","3535010","2.3","1277","6.8","Total, all industries","25","MA"
Michigan,"2016","Third Quarter","242124","4295322","2.2","975","5.7","Total, all industries","26","MI"
Minnesota,"2016","Third Quarter","162020","2852292","1.8","1051","6.2","Total, all industries","27","MN"
Mississippi,"2016","Third Quarter","73687","1129705","0.9","739","4.7","Total, all industries","28","MS"
Missouri,"2016","Third Quarter","193455","2781928","1.6","889","5.1","Total, all industries","29","MO"
Montana,"2016","Third Quarter","46085","464430","1.5","792","4.3","Total, all industries","30","MT"
Nebraska,"2016","Third Quarter","73202","975130","1.1","857","5.5","Total, all industries","31","NE"
Nevada,"2016","Third Quarter","81807","1300117","3.7","950","10.2","Total, all industries","32","NV"
New Hampshire,"2016","Third Quarter","51770","655415","1.9","1026","7.8","Total, all industries","33","NH"
New Jersey,"2016","Third Quarter","263710","3999377","1.7","1174","5.1","Total, all industries","34","NJ"
New Mexico,"2016","Third Quarter","57887","813480","0.4","830","4.0","Total, all industries","35","NM"
New York,"2016","Third Quarter","636259","9216718","1.6","1222","3.5","Total, all industries","36","NY"
North Carolina,"2016","Third Quarter","267386","4291434","2.3","910","5.4","Total, all industries","37","NC"
North Dakota,"2016","Third Quarter","32137","423315","-3.4","965","0.8","Total, all industries","38","ND"
Ohio,"2016","Third Quarter","293489","5349339","1.1","927","5.7","Total, all industries","39","OH"
Oklahoma,"2016","Third Quarter","109452","1581903","-1.1","853","3.4","Total, all industries","40","OK"
Oregon,"2016","Third Quarter","146022","1870748","2.8","970","5.2","Total, all industries","41","OR"
Pennsylvania,"2016","Third Quarter","352796","5779294","1.0","1013","5.4","Total, all industries","42","PA"
Rhode Island,"2016","Third Quarter","37003","480645","0.7","991","7.7","Total, all industries","44","RI"
South Carolina,"2016","Third Quarter","125461","2010246","2.6","832","5.6","Total, all industries","45","SC"
South Dakota,"2016","Third Quarter","33016","424537","1.2","809","7.0","Total, all industries","46","SD"
Tennessee,"2016","Third Quarter","153599","2919888","2.5","914","5.7","Total, all industries","47","TN"
Texas,"2016","Third Quarter","661488","11837943","1.3","1042","4.3","Total, all industries","48","TX"
Utah,"2016","Third Quarter","96634","1407439","3.8","881","6.3","Total, all industries","49","UT"
Vermont,"2016","Third Quarter","25180","310118","0.6","881","6.3","Total, all industries","50","VT"
Virginia,"2016","Third Quarter","267992","3803986","1.1","1062","4.9","Total, all industries","51","VA"
Washington,"2016","Third Quarter","241310","3276826","3.0","1188","6.9","Total, all industries","53","WA"
West Virginia,"2016","Third Quarter","50163","692769","-1.4","817","4.1","Total, all industries","54","WV"
Wisconsin,"2016","Third Quarter","170461","2851903","1.1","885","6.2","Total, all industries","55","WI"
Wyoming,"2016","Third Quarter","26040","275420","-4.4","865","0.0","Total, all industries","56","WY"
Puerto Rico,"2016","Third Quarter","45805","889976","-0.2","523","2.1","Total, all industries","72","PR"
Virgin Islands,"2016","Third Quarter","3386","37360","1.2","778","5.9","Total, all industries","78","VI"
 
