"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Fourth Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2015","Fourth Quarter","121924","1918570","1.5","913","3.5","Total, all industries","01","AL"
Alaska,"2015","Fourth Quarter","22259","316091","-0.5","1095","2.9","Total, all industries","02","AK"
Arizona,"2015","Fourth Quarter","151331","2703263","2.7","966","4.3","Total, all industries","04","AZ"
Arkansas,"2015","Fourth Quarter","88670","1201088","1.7","839","4.0","Total, all industries","05","AR"
California,"2015","Fourth Quarter","1448488","16606038","3.2","1275","5.5","Total, all industries","06","CA"
Colorado,"2015","Fourth Quarter","187622","2536859","2.5","1103","3.3","Total, all industries","08","CO"
Connecticut,"2015","Fourth Quarter","116246","1685277","0.3","1335","4.4","Total, all industries","09","CT"
Delaware,"2015","Fourth Quarter","31180","441557","1.9","1086","3.4","Total, all industries","10","DE"
District Of Columbia,"2015","Fourth Quarter","39150","757303","2.6","1753","3.2","Total, all industries","11","DC"
Florida,"2015","Fourth Quarter","649223","8314343","3.8","959","5.3","Total, all industries","12","FL"
Georgia,"2015","Fourth Quarter","294577","4246479","2.8","1002","4.6","Total, all industries","13","GA"
Hawaii,"2015","Fourth Quarter","39800","654065","2.3","957","5.4","Total, all industries","15","HI"
Idaho,"2015","Fourth Quarter","57210","670056","3.3","803","2.6","Total, all industries","16","ID"
Illinois,"2015","Fourth Quarter","405557","5925804","1.3","1145","5.0","Total, all industries","17","IL"
Indiana,"2015","Fourth Quarter","159583","2996202","1.7","891","5.3","Total, all industries","18","IN"
Iowa,"2015","Fourth Quarter","100367","1540045","0.8","920","5.7","Total, all industries","19","IA"
Kansas,"2015","Fourth Quarter","87495","1382606","0.4","897","4.9","Total, all industries","20","KS"
Kentucky,"2015","Fourth Quarter","122607","1882120","1.6","886","6.0","Total, all industries","21","KY"
Louisiana,"2015","Fourth Quarter","126987","1939133","-0.9","941","2.0","Total, all industries","22","LA"
Maine,"2015","Fourth Quarter","51848","597954","0.9","873","5.7","Total, all industries","23","ME"
Maryland,"2015","Fourth Quarter","169809","2639463","1.8","1174","5.5","Total, all industries","24","MD"
Massachusetts,"2015","Fourth Quarter","242041","3483900","1.7","1385","5.4","Total, all industries","25","MA"
Michigan,"2015","Fourth Quarter","239972","4219861","1.5","1043","5.9","Total, all industries","26","MI"
Minnesota,"2015","Fourth Quarter","159715","2807067","1.6","1074","4.9","Total, all industries","27","MN"
Mississippi,"2015","Fourth Quarter","72544","1134380","1.4","770","3.1","Total, all industries","28","MS"
Missouri,"2015","Fourth Quarter","194260","2759312","1.8","934","4.7","Total, all industries","29","MO"
Montana,"2015","Fourth Quarter","45789","453164","2.4","818","3.0","Total, all industries","30","MT"
Nebraska,"2015","Fourth Quarter","70874","972189","1.5","880","5.1","Total, all industries","31","NE"
Nevada,"2015","Fourth Quarter","80229","1272838","3.5","935","4.0","Total, all industries","32","NV"
New Hampshire,"2015","Fourth Quarter","51383","648758","1.7","1139","5.4","Total, all industries","33","NH"
New Jersey,"2015","Fourth Quarter","267489","3987588","1.7","1263","4.0","Total, all industries","34","NJ"
New Mexico,"2015","Fourth Quarter","57694","811287","0.2","866","1.9","Total, all industries","35","NM"
New York,"2015","Fourth Quarter","635404","9225818","1.7","1373","3.9","Total, all industries","36","NY"
North Carolina,"2015","Fourth Quarter","269901","4249766","2.6","939","5.5","Total, all industries","37","NC"
North Dakota,"2015","Fourth Quarter","32217","428099","-5.9","1021","-2.8","Total, all industries","38","ND"
Ohio,"2015","Fourth Quarter","292092","5327154","1.1","965","4.7","Total, all industries","39","OH"
Oklahoma,"2015","Fourth Quarter","108838","1607152","-0.6","895","2.2","Total, all industries","40","OK"
Oregon,"2015","Fourth Quarter","145303","1816799","3.4","980","5.6","Total, all industries","41","OR"
Pennsylvania,"2015","Fourth Quarter","351689","5761811","0.7","1063","4.9","Total, all industries","42","PA"
Rhode Island,"2015","Fourth Quarter","36607","478126","1.5","1044","4.1","Total, all industries","44","RI"
South Carolina,"2015","Fourth Quarter","123987","1988582","2.9","860","5.3","Total, all industries","45","SC"
South Dakota,"2015","Fourth Quarter","32825","417679","1.3","832","5.2","Total, all industries","46","SD"
Tennessee,"2015","Fourth Quarter","151314","2896573","2.7","981","5.7","Total, all industries","47","TN"
Texas,"2015","Fourth Quarter","645725","11831449","1.4","1099","2.7","Total, all industries","48","TX"
Utah,"2015","Fourth Quarter","95356","1375435","3.8","913","4.7","Total, all industries","49","UT"
Vermont,"2015","Fourth Quarter","24710","312229","0.3","919","4.1","Total, all industries","50","VT"
Virginia,"2015","Fourth Quarter","261202","3807259","3.0","1094","3.5","Total, all industries","51","VA"
Washington,"2015","Fourth Quarter","237981","3139385","2.3","1131","4.6","Total, all industries","53","WA"
West Virginia,"2015","Fourth Quarter","50399","704622","-1.1","830","1.5","Total, all industries","54","WV"
Wisconsin,"2015","Fourth Quarter","169414","2826996","1.3","943","5.5","Total, all industries","55","WI"
Wyoming,"2015","Fourth Quarter","26040","276669","-2.7","938","-1.6","Total, all industries","56","WY"
Puerto Rico,"2015","Fourth Quarter","45711","931265","-1.4","566","1.8","Total, all industries","72","PR"
Virgin Islands,"2015","Fourth Quarter","3357","38397","-0.2","783","4.1","Total, all industries","78","VI"
 
